AÑO JUDICIAL;SECCIÓN - SALA;RAMA JURÍDICA;NÚMERO EXPEDIENTE;"JURISDICCIÓN
PROCEDENCIA";"JURISDICCIÓN
RESOLUCIÓN";"TÍTULO GENERAL  
(MATERIA DEL RECURSO)";"TÍTULO ESPECIFICO 
(SUMILLA)";PÁGINA;F. LIBRO;F. TOMO;F. AÑO;ENLACE;
1871-1872;Sección judicial;---;---;***;***;---;El despojo causado por las autoridades políticas, no siempre da lugar al recurso de protección autorizado por el artículo 1526 del Código de Enjuiciamientos;3;Anales Judiciales del Perú  1871-1872 ;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Prescripción adquisitiva.- La posesión de más de cuarenta años, constituye título de dominio;8;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Comiso;10;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Personería;13;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Personería;14;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;La declaración que se hace en la escritura de adquisición de gravar en el inmueble un censo, presta mérito bastante para proceder ejecutivamente al cobre de los réditos;16;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Cobro de cantidad de pesos;17;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Las Cortes Superiores, al estrañar la conducta de los jueces, proceden en el ejercicio de sus facultades, disciplinarias, de modo que tales medidas no dan lugar, por consiguiente, al extraordinario recurso de nulidad;21;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Los peritos, que para mejor resolver, nombran de oficio los jueces en causas criminales, no pueden ser tachados por el acusado - En el plenario, puede éste hacer uso de su derecho con areglo á la ley;23;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;La semiplena probanza, para el efecto de pedir alimentos provisionales, no es título bastante para reclamar alimentos permanentes;25;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Robo en cuadrilla;27;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Cantidad de soles;28;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Personería del apoderado para intervenir en juicio;30;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;El Gerente de una compañía, no tiene personería para oponerse al embargo de la acción de un socio cuando no se dispone, á la vez, sobre los intereses de semejante compañía;32;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Las minas de petroleo ¿están sujetas á las Ordenanzas de Minería ó á las leyes de la Novísima recopilación? - Modo de resolver el punto;34;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Caso en que el padre, en estado de ebriedad y sin intensión de mata, causa la muertede su hijo, proponiéndose únicamente corregirlo, merece la la pena de 14 años de penitenciaría;37;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;La vía ejecutiva está expedita para exijir el cumplimiento de obligaciones procedentes de un contrato de arrendamiento fenecido;39;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Personería  ;41;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Insubsistencia de lo actuado, por irregularidades en el procedimiento;43;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Misión en posesión;46;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Robo en cuadrilla - Error en el modo de computar las penas;51;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;El incidente sobre exhibición de libros, cuando éstos se piden en parte de prueba, dá lugar al extraordinario recurso de nulidad;54;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Pendiente una incidencia, no puede declararse consentida y ejecutoriada la sentencia;56;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Extensión de la responsabilidad del fiador mancomunado con el obligado ;58;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;El guardador nombrado por un consejo de familia irregularmente formado, no tiene derecho á que se le discierna cargo;60;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Despojo judicial;62;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Caso en que la estralimitación de los peritos, al emitir sus dictámenes, no da lugar al recurso extraordinario de nulidad;67;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Caso en que la sala del crimen debe componerse de cinco vocales;70;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Insubsistencia de un fallo de vista, por ser uno de los vocales hermano del juez que lo pronunció en primera instancia;71;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Cuentas rendidas por los consignatarios del huano (guano) en los Estados Unidos;73;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Homicidio en despoblado con propósito de robar;78;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Pago de merced conductiva;80;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Tercería excluyente;81;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Nulidad de un auto de solvendo.- Responsabilidad del juez que lo pronunció;84;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Cantidad de soles;86;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Intestado;95;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Cantidad de soles;98;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Rescisión de un contrato de arrendamiento;100;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Abandono de la segunda instancia;102;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Cantidad de soles;103;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;La enemistad capital del enjuiciado el cuñado del juez constituye causa lejítima de excusa;109;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Robo;112;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Declinación de jurisdicción;114;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Prescripción de la acción para demandar la nulidad de un testamentoen que el otorgante instituye á su alma por heredera;116;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Cantidad de soles;117;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;"Arribada sospechosa al Callao del buque cargado de huano ""Bethiah Thayer"" - El Gobierno somete á juicio á su capitán.- No se le prueba el dolo que se le imputa, por lo que se le absuelve de la instancia únicamente ";119;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;El derecho de muellaje.- Se cobra por la vía coactiva de apremio y pago;122;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Cumplimiento de un contrato;124;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Si el otorgante de un documento de obligación de debe, reconoce su firma, y declara , á la vez, que autorizó su descuento, está expedita la vía ejecutiva;126;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Provisión de Capellanías;127;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Homicidio ;129;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Responsablidad del Estado, por haber tomado para su servicio una lancha de propiedad particular;131;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Mandamiento de prisión en forma;131;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Recusación ;134;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Despojo judicial;139;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Los jueces no pueden alterar los autos consentidos ó confirmados;141;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;División de bienes;143;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Recusación por causa de parentesco de afinidad ;144;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Provisión de una capellanía ;146;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;El auto de no innovación no da lugar al recurso de nulidad;148;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Robo;152;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Robo;154;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Querella de despojo;158;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Preferencia por el tanto;164;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Prueba testimonial;166;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Despojo ;167;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;La ley sobre crédito hipotecarios de 1869, no debe aplicarse á otros juicios que á los que promuevan los bancos;170;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Conflicto entre el reglamento de tribunales y el de comercio;172;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;División de bienes;174;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Comiso;177;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Nulidad de lo actuado, por la abreviación de formas ;180;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Es inadmisible en derecho el desistimiento que cede en daño de tercero ;182;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Nulidad de lo actuado, por falta de citación;185;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Rendición de cuentas;187;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Nulidad de lo actuado;190;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Homicidio;192;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Posesión;194;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Flagelación;195;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Misión en posesión;203;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Facultades de la Municipalidad en orden á la administración del agua de propiedad de la cíudad ;205;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;No pueden seguirse simultáneamente dos causas cuando la una debe ser consecuencia necesaria de la otra;207;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Cuando se agrava la pena impuesta en primera instancia al reo, debe oírsele á éste y nombrarle defensor;209;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Interpretación de un testamento;210;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Homicidio;212;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Caso en que no procede la desacumulación de acciones;214;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;El homicidio alevoso debe sufrir la pena de muerte;216;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Caso en que la nulidad de una notificación, no origina el recurso extraordinario;220;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Juicio sobre restitución in íntegrum;222;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;La insubsistencia del auto de vista, no siempre da lugar al recurso extraordinario de nulidad;227;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Amparo en posesión de pertenencias de petróleo;228;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Desocupación de una casa;232;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Reconocimiento y pago de la deuda;234;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Incompetencia de los tribunales nacionales para conocer en causas relativas á bienes raíces situados en el extranjero;236;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Excepción de cosa juzgada ;238;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Denuncias de pertenencias de petróleo;241;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;La concesión implícita del término de la distancia para la actuación de una prueba testimonial, no da lugar al recurso de nulidad;244;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Subarriendo contra pacto expreso;246;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Reconocimiento de la deuda pública ;248;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Posesión;250;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;No es causa de nulidad de lo obrado, la circunstancia de que no hayan salido al juicio todos los herederos en el caso de exijirse el cumplimiento de una obligación hipotecaria ;258;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Caso en que puede pasarse al plenario sin la formalidad de la prisión ;262;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Pueblos establecidos en terrenos de propiedad particular.- Derechos y obligaciones de los ocupantes conforme á la ley de 19 de Noviembre de 1839;264;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Naturaleza de un contrato;266;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Interdicción por causa de demencia.- Modo de actuar las pruebas para comprobar el hecho. - El presunto demente no puede ser interrogado por el que solicita la declaratoria de incapacidad;269;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;El reconocimiento que en testamento hace un padre de su hijo natural, produce sus efectos legales aun en el caso de que se revoque en codicilo posterior semejante reconocimiento;272;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Insubsistencia de los actuado, por corresponder el conocimiento de la causa al tribunal de alzadas, y no a la Corte Superior;275;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;"Querella de despojo contra el Gobierno por la clausura de la imprenta de ""El Nacional""";279;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;El auto por el que se declara fundada la acción de tercería de excluyente de dominio, no constituye cosa juzgada;282;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Mandamiento de prisión en forma;284;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Personería del sustituto del apoderado;288;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Injurias por medio de caricaturas ;290;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;No procede el recurso de nulidad contra el auto que distribuye entre los herederos los frutos de los bienes pro indiviso puestos en depósito;292;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;En la sucesión de parientes naturales, el más próximo excluye al más remoto si no concurren hermanos con sobrinos;294;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;El auto de recepción á prueba en causas al parecer de puro derecho, no presta mérito para interposición del recurso de nulidad;296;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;El delito de peculado cometido por jefes de la gendarmería, está sujeto á la jurisdicción ordinaria;298;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Cantidad de soles;300;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Nulidad de la disolución de una compañía con prescidencia de uno de los interesados, y modo de proceder en tales casos;302;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Robo;303;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Las Beneficencias tienen personería bastante para administrar los bienes y rentas de los establecimientos de caridad, salvo lo dispuesto por los fundadores de ellos;306;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;No por ser injunta la pena de azotes impuesta á un soldado queda exento éste de responsabilidad por el delito que originó el castigo.- Responsabilidad de ambos;308;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Homicidio;311;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Vendida una casa en remate público, habiéndose advertido, en las bases, que estaba ligada á un contrato de locación celebrado bajo el imperio de la antigua legislación ¿está ó no obligado el subastador á respetar semejante contrato?;315;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Comiso;317;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Sobreseimiento;318;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;No es lícito resolver, en la forma de un artículo, lo que constituye la materia de la demanda;320;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Ineficacia de un desistimiento defectuoso;323;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Nulidad de un auto, por ser contrario á otro ya ejecutoriado;325;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Excepción de jurisdicción;329;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Soltura en fiado ;331;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;No habiendo contradicción de parte á la división de bienes, debe procederse llanamente á ésta;336;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;La patente industrial exijida á la Empresa del Agua, no da lugar á la acción de despojo;338;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1873-1874-1875;Sección judicial;---;---;***;***;----;En el testamento cerrado puede ser testigo el pariente en 2° grado de afinidad del testador sin que se invalide el instrumento otorgado por éste;3;Anales Judiciales del Perú  1873-1874-1875;Tomo II;1907;Enlace;
1873-1874-1875;Sección judicial;---;---;***;***;---;Insubsistencia por resolverse un punto no apelado;13;Anales Judiciales del Perú  1873-1874-1875;Tomo II;1907;Enlace;
1873-1874-1875;Sección judicial;---;---;***;***;---;Responsabilidad de la mujer casada en las deudas del marido. Excepción.;15;Anales Judiciales del Perú  1873-1874-1875;Tomo II;1907;Enlace;
1873-1874-1875;Sección judicial;---;---;***;***;---;La cosa agena de que se dispone para dedicarla al servicio público debe ser indemnizada y el acto no es delictuoso;19;Anales Judiciales del Perú  1873-1874-1875;Tomo II;1907;Enlace;
1873-1874-1875;Sección judicial;---;---;***;***;---;El cuerpo del delito puede consistir en el mismo delito cometido y estimarse como prueba bastante para la imposición de la pena;21;Anales Judiciales del Perú  1873-1874-1875;Tomo II;1907;Enlace;
1873-1874-1875;Sección judicial;---;---;***;***;---;Adquisición del dominio por la posesión de más de veinte años que la ley señala para adquirir por prescripción....;23;Anales Judiciales del Perú  1873-1874-1875;Tomo II;1907;Enlace;
1873-1874-1875;Sección judicial;---;---;***;***;---;"Irresponsabilidad en el “homicidio necesario"" en el causado contra el ex-preside11te de Bolivia general Melgarejo";26;Anales Judiciales del Perú  1873-1874-1875;Tomo II;1907;Enlace;
1873-1874-1875;Sección judicial;---;---;***;***;---;Es nulo el contrato de venta de bienes de menores si no ha precedido la tasacion, el remate y demás formalidades...;30;Anales Judiciales del Perú  1873-1874-1875;Tomo II;1907;Enlace;
1873-1874-1875;Sección judicial;---;---;***;***;---;Puede oponerse la excepción de jurisdicción ante el juez ordinario por uno de los cónyuges á quien se sigue juicio de divorcio ante el juez eclesiástico. No procede la de personería en el juicio por lesiones entre los mismos cónyuges.......;34;Anales Judiciales del Perú  1873-1874-1875;Tomo II;1907;Enlace;
1873-1874-1875;Sección judicial;---;---;***;***;---;La municipalidad de Lima procede con facultad legal bastante al suprimir las acequias del interior de las casas, consultando la higiene pública.......;36;Anales Judiciales del Perú  1873-1874-1875;Tomo II;1907;Enlace;
1873-1874-1875;Sección judicial;---;---;***;***;---;El traslado de la demanda no da mérito á la intervención, retención y embargo de los bienes del deudor. Su único efecto legal es anular la enagenación y gravámenes impuestos después del emplazamiento.....;38;Anales Judiciales del Perú  1873-1874-1875;Tomo II;1907;Enlace;
1873-1874-1875;Sección judicial;---;---;***;***;---;Procede el mandamiento de embargo en el íntegro del sueldo que disfruta el deudor ejecutado.......;41;Anales Judiciales del Perú  1873-1874-1875;Tomo II;1907;Enlace;
1873-1874-1875;Sección judicial;---;---;***;***;---;La demora indebida en la presentación del recurso de nulidad ante la Corte Suprema hace ilegal el recurso....;42;Anales Judiciales del Perú  1873-1874-1875;Tomo II;1907;Enlace;
1873-1874-1875;Sección judicial;---;---;***;***;---;No procede el retracto en el traspaso que el acreedor hace de su crédito...;44;Anales Judiciales del Perú  1873-1874-1875;Tomo II;1907;Enlace;
1873-1874-1875;Sección judicial;---;---;***;***;---;No son identidades del concurso las especies que no se encuentran en poder del síndico........;46;Anales Judiciales del Perú  1873-1874-1875;Tomo II;1907;Enlace;
1873-1874-1875;Sección judicial;---;---;***;***;---;La venta de un bien testamentario hecho por el albacea con autorización bastante queda consumada legalmente......;49;Anales Judiciales del Perú  1873-1874-1875;Tomo II;1907;Enlace;
1873-1874-1875;Sección judicial;---;---;***;***;---;La oposición que se hace á la división de bienes solicitada por interesados en ellos debe sustanciarse en la vía ordinaria....;52;Anales Judiciales del Perú  1873-1874-1875;Tomo II;1907;Enlace;
1873-1874-1875;Sección judicial;---;---;***;***;---;El juez del lugar donde se cometió el delito es el competente para juzgar al reo......;54;Anales Judiciales del Perú  1873-1874-1875;Tomo II;1907;Enlace;
1873-1874-1875;Sección judicial;---;---;***;***;---;Responsabilidad de los relatores de las cortes que defienden pleitos......;57;Anales Judiciales del Perú  1873-1874-1875;Tomo II;1907;Enlace;
1873-1874-1875;Sección judicial;---;---;***;***;---;Reclamo indebido de la consignación del guano de Inglaterra ....;60;Anales Judiciales del Perú  1873-1874-1875;Tomo II;1907;Enlace;
1873-1874-1875;Sección judicial;---;---;***;***;---;Insubsistencia por recaer el fallo sobre punto que no ha sido materia de la demanda.....;62;Anales Judiciales del Perú  1873-1874-1875;Tomo II;1907;Enlace;
1873-1874-1875;Sección judicial;---;---;***;***;---;Son distintos actos que dan lugar a distintos derechos la adjudicación de una cosa por compensación y la donación......;66;Anales Judiciales del Perú  1873-1874-1875;Tomo II;1907;Enlace;
